Mode,Smart Contract Compile Success,Smart Contract Compile Warning Count,Smart Contract Compile Error Count,Smart Contract Compile Error Types,Unit Test Compile Success,Unit Test Compile Warning Count,Unit Test Compile Error Count,Unit Test Compile Error Types,Scenario,Model
continue_cql_unit_test,True,0,0,{},True,0,0,{},scenario1,gpt-4
continue_n3_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,gpt-4
continue_unit_test,True,0,0,{},True,0,0,{},scenario1,gpt-4
use_original_unit_test,True,0,0,{},False,0,1,"{""TypeError"": 1}",scenario1,gpt-4
use_previous_cql_unit_test,True,0,0,{},False,0,1,"{""TypeError"": 1}",scenario1,gpt-4
use_previous_n3_unit_test,True,0,0,{},False,0,7,"{""TypeError"": 7}",scenario1,gpt-4
use_previous_unit_test,True,0,0,{},False,0,5,"{""TypeError"": 5}",scenario1,gpt-4
continue_cql_unit_test,True,0,0,{},False,0,5,"{""TypeError"": 5}",scenario2,gpt-4
continue_n3_unit_test,True,0,0,{},False,0,2,"{""TypeError"": 2}",scenario2,gpt-4
continue_unit_test,True,0,0,{},False,0,4,"{""TypeError"": 4}",scenario2,gpt-4
use_original_unit_test,True,0,0,{},False,0,1,"{""TypeError"": 1}",scenario2,gpt-4
use_previous_cql_unit_test,True,0,0,{},False,0,5,"{""TypeError"": 5}",scenario2,gpt-4
use_previous_n3_unit_test,True,0,0,{},False,0,6,"{""TypeError"": 6}",scenario2,gpt-4
use_previous_unit_test,True,0,0,{},False,0,5,"{""TypeError"": 5}",scenario2,gpt-4
continue_cql_unit_test,False,0,1,"{""DeclarationError"": 1}",False,0,1,"{""ParserError"": 1}",scenario3,gpt-4
continue_n3_unit_test,True,0,0,{},True,0,0,{},scenario3,gpt-4
continue_unit_test,False,0,1,"{""ParserError"": 1}",False,0,2,"{""ParserError"": 2}",scenario3,gpt-4
use_original_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario3,gpt-4
use_previous_cql_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-4
use_previous_n3_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-4
use_previous_unit_test,True,5,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-4
continue_cql_unit_test,True,0,0,{},True,0,0,{},scenario1,gpt-4-1106-preview
continue_n3_unit_test,True,0,0,{},False,0,6,"{""TypeError"": 6}",scenario1,gpt-4-1106-preview
continue_unit_test,True,0,0,{},False,0,6,"{""TypeError"": 6}",scenario1,gpt-4-1106-preview
use_original_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,gpt-4-1106-preview
use_previous_cql_unit_test,True,0,0,{},True,0,0,{},scenario1,gpt-4-1106-preview
use_previous_n3_unit_test,True,0,0,{},True,0,0,{},scenario1,gpt-4-1106-preview
use_previous_unit_test,True,0,0,{},True,0,0,{},scenario1,gpt-4-1106-preview
continue_cql_unit_test,True,0,0,{},True,0,0,{},scenario2,gpt-4-1106-preview
continue_n3_unit_test,True,0,0,{},True,0,0,{},scenario2,gpt-4-1106-preview
continue_unit_test,True,0,0,{},True,0,0,{},scenario2,gpt-4-1106-preview
use_original_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario2,gpt-4-1106-preview
use_previous_cql_unit_test,True,1,0,{},False,1,1,"{""TypeError"": 1}",scenario2,gpt-4-1106-preview
use_previous_n3_unit_test,True,0,0,{},True,2,0,{},scenario2,gpt-4-1106-preview
use_previous_unit_test,True,1,0,{},True,1,0,{},scenario2,gpt-4-1106-preview
continue_cql_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-4-1106-preview
continue_n3_unit_test,True,0,0,{},True,0,0,{},scenario3,gpt-4-1106-preview
continue_unit_test,True,0,0,{},False,0,5,"{""TypeError"": 5}",scenario3,gpt-4-1106-preview
use_original_unit_test,True,0,0,{},False,0,7,"{""DeclarationError"": 7}",scenario3,gpt-4-1106-preview
use_previous_cql_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-4-1106-preview
use_previous_n3_unit_test,True,0,0,{},False,0,1,"{""TypeError"": 1}",scenario3,gpt-4-1106-preview
use_previous_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-4-1106-preview
continue_cql_unit_test,False,0,1,"{""DeclarationError"": 1}",False,0,1,"{""DeclarationError"": 1}",scenario1,codellama
continue_n3_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,codellama
continue_unit_test,True,1,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,codellama
use_original_unit_test,True,0,0,{},False,2,2,"{""DeclarationError"": 2}",scenario1,codellama
use_previous_cql_unit_test,False,0,0,{},False,0,0,{},scenario1,codellama
use_previous_n3_unit_test,False,0,1,"{""TypeError"": 1}",False,0,1,"{""TypeError"": 1}",scenario1,codellama
use_previous_unit_test,True,7,0,{},False,7,7,"{""DeclarationError"": 7}",scenario1,codellama
continue_cql_unit_test,True,1,0,{},False,0,1,"{""DeclarationError"": 1}",scenario2,codellama
continue_n3_unit_test,False,1,4,"{""TypeError"": 3, ""DeclarationError"": 1}",False,0,2,"{""DeclarationError"": 2}",scenario2,codellama
continue_unit_test,False,0,0,{},False,0,0,{},scenario2,codellama
use_original_unit_test,True,0,0,{},False,0,4,"{""DeclarationError"": 4}",scenario2,codellama
use_previous_cql_unit_test,False,0,0,{},False,0,0,{},scenario2,codellama
use_previous_n3_unit_test,False,0,2,"{""TypeError"": 2}",False,0,4,"{""DeclarationError"": 4}",scenario2,codellama
use_previous_unit_test,False,0,2,"{""TypeError"": 2}",False,0,4,"{""DeclarationError"": 4}",scenario2,codellama
continue_cql_unit_test,False,5,4,"{""TypeError"": 4}",False,4,1,"{""DeclarationError"": 1}",scenario3,codellama
continue_n3_unit_test,False,1,1,"{""TypeError"": 1}",False,0,1,"{""DeclarationError"": 1}",scenario3,codellama
continue_unit_test,False,1,7,"{""TypeError"": 7}",False,1,7,"{""TypeError"": 7}",scenario3,codellama
use_original_unit_test,False,0,1,"{""TypeError"": 1}",False,0,8,"{""DeclarationError"": 8}",scenario3,codellama
use_previous_cql_unit_test,False,0,2,"{""TypeError"": 2}",False,0,18,"{""DeclarationError"": 18}",scenario3,codellama
use_previous_n3_unit_test,False,0,1,"{""TypeError"": 1}",False,0,20,"{""DeclarationError"": 20}",scenario3,codellama
use_previous_unit_test,True,0,0,{},False,0,22,"{""DeclarationError"": 22}",scenario3,codellama
