Model,Scenario,Mode,Compile Success,Warnings,CompilerError,DeclarationError,Error,ParserError,TypeError,Total
gpt-4,scenario3,use_original_n3,True,0,0,0,0,0,0,0
gpt-4,scenario3,use_original_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario3,use_previous_cql,False,0,0,0,0,1,0,1
gpt-4,scenario3,use_previous_cql_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario3,use_previous_n3,False,0,1,0,0,0,0,1
gpt-4,scenario3,use_previous_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario3,use_previous_unit_test,True,5,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,continue_cql,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,continue_cql_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,continue_n3,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,continue_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,continue_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,use_original_cql,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,use_original_n3,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,use_original_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,use_previous_cql,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,use_previous_cql_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,use_previous_n3,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,use_previous_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario1,use_previous_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,continue_cql,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,continue_cql_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,continue_n3,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,continue_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,continue_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,use_original_cql,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,use_original_n3,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,use_original_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,use_previous_cql,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,use_previous_cql_unit_test,True,1,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,use_previous_n3,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,use_previous_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario2,use_previous_unit_test,True,1,0,0,0,0,0,0
gpt-4-1106-preview,scenario3,continue_cql,False,0,1,0,0,0,0,1
gpt-4-1106-preview,scenario3,continue_cql_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario3,continue_n3,False,0,1,0,0,0,0,1
gpt-4-1106-preview,scenario3,continue_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario3,continue_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario3,use_original_cql,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario3,use_original_n3,False,0,0,0,0,1,0,1
gpt-4-1106-preview,scenario3,use_original_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario3,use_previous_cql,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario3,use_previous_cql_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario3,use_previous_n3,False,0,1,0,0,0,0,1
gpt-4-1106-preview,scenario3,use_previous_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4-1106-preview,scenario3,use_previous_unit_test,True,0,0,0,0,0,0,0
