```
library TransplantDrugTherapy
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
